Species,latitude,longitude
Asclepias speciosa,49.53333,-97.98333
Asclepias speciosa,45.98064,-96.60262
Asclepias speciosa,38.16916,-122.13111
Asclepias speciosa,42.10258,-104.31092
Asclepias speciosa,38.29142,-111.26175
Asclepias speciosa,39.23452,-121.0536
Asclepias speciosa,39.75562,-104.84332
Asclepias speciosa,42.85999,-112.43378
Asclepias speciosa,38.1904,-120.28342
Asclepias speciosa,37.8443,-119.49294
Asclepias speciosa,42.8939,-100.474
Asclepias speciosa,47.48518,-111.22365
Asclepias speciosa,40.93898,-121.54494
Asclepias speciosa,38.75943,-122.76403
Asclepias speciosa,44.07205,-102.38127
Asclepias speciosa,38.45581,-122.70364
Asclepias speciosa,45.67268,-110.54133
Asclepias speciosa,36.18865,-98.00417
Asclepias speciosa,36.18869,-98.00309
Asclepias speciosa,38.53622,-121.74815
Asclepias speciosa,44.8614,-108.332
Asclepias speciosa,34.1833,-110.017
Asclepias speciosa,36.2753,-105.257
Asclepias speciosa,34.1833,-110.017
Asclepias speciosa,35.1833,-111.65
Asclepias speciosa,36.8736,-108.203
Asclepias speciosa,47.16097,-95.9757
Asclepias speciosa,39.91659,-105.03258
Asclepias speciosa,42.93092,-112.77883
Asclepias speciosa,37.74636,-119.58971
Asclepias speciosa,37.27046,-107.88574
Asclepias speciosa,39.46961,-122.83771
Asclepias speciosa,39.82036,-104.86085
Asclepias speciosa,39.38024,-123.04755
Asclepias speciosa,41.9079,-109.84852
Asclepias speciosa,37.42942,-105.77033
Asclepias speciosa,40.74175,-122.80404
Asclepias speciosa,43.44083,-112.04367
Asclepias speciosa,38.59798,-109.52436
Asclepias speciosa,40.41628,-120.65301
Asclepias speciosa,36.97329,-104.39394
Asclepias speciosa,42.21086,-111.33907
Asclepias speciosa,39.49757,-119.91216
Asclepias speciosa,38.61331,-109.57949
Asclepias speciosa,40.04869,-111.55087
Asclepias speciosa,43.76239,-105.4795
Asclepias speciosa,44.54025,-98.72169
Asclepias speciosa,43.55137,-96.9682
Asclepias speciosa,39.21682,-121.0453
Asclepias speciosa,41.84051,-103.72815
Asclepias speciosa,49.34489,-119.57149
Asclepias speciosa,36.18865,-98.00348
Asclepias speciosa,36.18867,-98.00456
Asclepias speciosa,36.19111,-98.26421
Asclepias speciosa,39.53408,-119.72591
Asclepias speciosa,39.21718,-121.0441
Asclepias speciosa,49.07937,-117.60111
Asclepias speciosa,46.54751,-120.49493
Asclepias speciosa,37.30142,-115.13082
Asclepias speciosa,37.43871,-118.40579
Asclepias speciosa,38.88378,-104.83288
Asclepias speciosa,40.40608,-109.23821
Asclepias speciosa,38.28565,-111.24584
Asclepias speciosa,37.54492,-119.64474
Asclepias speciosa,39.60719,-119.69135
Asclepias speciosa,39.51462,-119.91484
Asclepias speciosa,39.5089,-119.99381
Asclepias speciosa,39.51221,-119.99601
Asclepias speciosa,37.71545,-119.67663
Asclepias speciosa,39.5151,-119.75956
Asclepias speciosa,39.5151,-119.75956
Asclepias speciosa,39.51206,-119.74544
Asclepias speciosa,49.8116,-97.052
Asclepias speciosa,45.30557,-114.38275
Asclepias speciosa,38.24655,-107.76339
Asclepias speciosa,38.24666,-107.76334
Asclepias speciosa,37.71545,-119.67666
Asclepias speciosa,39.17012,-119.70602
Asclepias speciosa,43.76172,-101.93029
Asclepias speciosa,42.86201,-112.42796
Asclepias speciosa,38.04372,-103.43112
Asclepias speciosa,39.65032,-104.84787
Asclepias speciosa,36.7173,-114.70689
Asclepias speciosa,40.16106,-105.12999
Asclepias speciosa,40.16135,-105.13007
Asclepias speciosa,40.03888,-105.23856
Asclepias speciosa,40.56471,-109.06004
Asclepias speciosa,40.5637,-109.0561
Asclepias speciosa,40.69379,-108.90186
Asclepias speciosa,37.48811,-106.09929
Asclepias speciosa,38.93993,-119.97719
Asclepias speciosa,38.28447,-111.1401
Asclepias speciosa,38.87219,-120.04568
Asclepias speciosa,38.91639,-120.02341
Asclepias speciosa,36.18028,-100.26694
Asclepias speciosa,36.18034,-100.26704
Asclepias speciosa,36.18254,-100.26544
Asclepias speciosa,36.17834,-100.26747
Asclepias speciosa,38.88856,-120.03057
Asclepias speciosa,35.88828,-100.19617
Asclepias speciosa,44.41172,-103.8941
Asclepias speciosa,39.63818,-120.45597
Asclepias speciosa,41.15512,-122.34374
Asclepias speciosa,37.8187,-122.12609
Asclepias speciosa,38.9311,-120.05803
Asclepias speciosa,38.89401,-120.02664
Asclepias speciosa,39.94761,-105.26678
Asclepias speciosa,40.00582,-120.99299
Asclepias speciosa,42.87784,-112.47297
Asclepias speciosa,40.16805,-104.98432
Asclepias speciosa,46.98913,-103.48759
Asclepias speciosa,34.97108,-106.68547
Asclepias speciosa,36.18258,-100.26544
Asclepias speciosa,36.18046,-100.26712
Asclepias speciosa,36.17818,-100.26805
Asclepias speciosa,36.17519,-100.26661
Asclepias speciosa,36.17602,-100.26677
Asclepias speciosa,36.18038,-100.26701
Asclepias speciosa,35.94097,-100.36653
Asclepias speciosa,36.17842,-100.26761
Asclepias speciosa,35.94106,-100.36637
Asclepias speciosa,36.17842,-100.26761
Asclepias speciosa,36.18258,-100.26544
Asclepias speciosa,36.18046,-100.26712
Asclepias speciosa,36.17602,-100.26677
Asclepias speciosa,36.18038,-100.26701
Asclepias speciosa,36.17798,-100.26842
Asclepias speciosa,36.17798,-100.26842
Asclepias speciosa,36.17519,-100.26661
Asclepias speciosa,36.17818,-100.26805
Asclepias speciosa,37.8651,-119.53833
Asclepias speciosa,40.56572,-109.05738
Asclepias speciosa,38.51738,-119.47006
Asclepias speciosa,44.54207,-98.72145
Asclepias speciosa,36.83283,-107.99497
Asclepias speciosa,36.8349,-108.00132
Asclepias speciosa,39.5922,-107.76566
Asclepias speciosa,39.58868,-107.76282
Asclepias speciosa,42.64606,-124.0479
Asclepias speciosa,42.64635,-123.69995
Asclepias speciosa,42.21373,-112.29017
Asclepias speciosa,38.45529,-122.70441
Asclepias speciosa,41.461,-122.62318
Asclepias speciosa,43.90675,-102.36916
Asclepias speciosa,39.81564,-104.86455
Asclepias speciosa,39.62415,-119.69098
Asclepias speciosa,36.71147,-114.71362
Asclepias speciosa,39.54959,-118.47347
Asclepias speciosa,33.88438,-118.2868
Asclepias speciosa,39.87402,-104.91625
Asclepias speciosa,43.57554,-116.27266
Asclepias speciosa,39.47331,-119.81146
Asclepias speciosa,39.48774,-119.76093
Asclepias speciosa,39.53734,-119.70915
Asclepias speciosa,39.54173,-119.71095
Asclepias speciosa,40.58512,-105.17942
Asclepias speciosa,39.17639,-119.70706
Asclepias speciosa,39.27595,-103.01045
Asclepias speciosa,39.54163,-119.71093
Asclepias speciosa,42.60051,-114.46977
Asclepias speciosa,42.60054,-114.46975
Asclepias speciosa,39.50422,-119.89303
Asclepias speciosa,37.74458,-119.58806
Asclepias speciosa,38.42446,-120.64507
Asclepias speciosa,36.18875,-97.99983
Asclepias speciosa,38.18475,-98.41753
Asclepias speciosa,38.1434,-98.49132
Asclepias speciosa,39.50384,-119.89306
Asclepias speciosa,38.61731,-121.31176
Asclepias speciosa,47.52448,-117.43293
Asclepias speciosa,38.25007,-104.67143
Asclepias speciosa,42.86726,-112.4289
Asclepias speciosa,42.86726,-112.4289
Asclepias speciosa,39.96441,-105.27933
Asclepias speciosa,42.64626,-123.69458
Asclepias speciosa,37.73951,-119.59489
Asclepias speciosa,38.76058,-122.76078
Asclepias speciosa,38.75955,-122.76402
Asclepias speciosa,41.4936,-109.43872
Asclepias speciosa,37.72418,-119.63248
Asclepias speciosa,46.31058,-120.32997
Asclepias speciosa,38.61422,-109.5794
Asclepias speciosa,38.54682,-121.768
Asclepias speciosa,36.88759,-104.43268
Asclepias speciosa,47.95,-119.4667
Asclepias speciosa,47.9667,-119.6333
Asclepias speciosa,47.9667,-119.6333
Asclepias speciosa,41.6025,-120.42194
Asclepias speciosa,39.66667,-104.41667
Asclepias speciosa,40.57833,-105.04083
Asclepias speciosa,40.61861,-103.17528
Asclepias speciosa,40.68444,-104.50889
Asclepias speciosa,40.56667,-105.01667
