Species,latitude,longitude
Asclepias syriaca,40.44278,-76.64482
Asclepias syriaca,39.25319,-75.45195
Asclepias syriaca,41.44022,-81.85433
Asclepias syriaca,38.94926,-76.49084
Asclepias syriaca,40.59302,-74.55827
Asclepias syriaca,40.46786,-73.99727
Asclepias syriaca,38.89631,-95.49788
Asclepias syriaca,44.7392,-73.13012
Asclepias syriaca,44.87433,-68.67905
Asclepias syriaca,42.25583,-83.04822
Asclepias syriaca,35.81742,-81.18036
Asclepias syriaca,41.45104,-71.39942
Asclepias syriaca,40.60326,-73.9264
Asclepias syriaca,39.96704,-83.72455
Asclepias syriaca,43.65417,-73.22716
Asclepias syriaca,40.04334,-75.34693
Asclepias syriaca,40.03781,-75.33827
Asclepias syriaca,42.39845,-85.38609
Asclepias syriaca,42.81574,-77.78767
Asclepias syriaca,41.93941,-78.67404
Asclepias syriaca,40.497,-74.451
Asclepias syriaca,40.0584,-82.70903
Asclepias syriaca,44.2734,-96.77833
Asclepias syriaca,40.82576,-96.6852
Asclepias syriaca,40.80948,-96.66858
Asclepias syriaca,40.81105,-96.67031
Asclepias syriaca,40.45859,-80.40652
Asclepias syriaca,40.43264,-79.9413
Asclepias syriaca,43.11166,-78.4062
Asclepias syriaca,42.47374,-83.99711
Asclepias syriaca,42.26549,-70.8702
Asclepias syriaca,42.25583,-83.04822
Asclepias syriaca,42.41892,-70.90656
Asclepias syriaca,44.26483,-84.24156
Asclepias syriaca,43.12944,-80.28986
Asclepias syriaca,44.26484,-84.24156
Asclepias syriaca,44.2649,-84.24134
Asclepias syriaca,44.26469,-84.24133
Asclepias syriaca,35.25578,-85.78992
Asclepias syriaca,44.84318,-86.06413
Asclepias syriaca,35.85602,-78.99011
Asclepias syriaca,43.09156,-71.16017
Asclepias syriaca,43.0915,-71.16016
Asclepias syriaca,43.0914,-71.16014
Asclepias syriaca,40.97741,-81.30646
Asclepias syriaca,40.27175,-74.77279
Asclepias syriaca,44.31,-96.80166
Asclepias syriaca,44.43472,-83.45072
Asclepias syriaca,43.16832,-90.04066
Asclepias syriaca,36.02599,-78.9008
Asclepias syriaca,40.58401,-73.88576
Asclepias syriaca,43.25392,-72.58249
Asclepias syriaca,43.26285,-72.59511
Asclepias syriaca,44.16836,-73.1342
Asclepias syriaca,44.16279,-73.14139
Asclepias syriaca,35.81224,-78.71442
Asclepias syriaca,45.05898,-92.94224
Asclepias syriaca,43.81197,-71.44958
Asclepias syriaca,39.22659,-76.74732
Asclepias syriaca,42.39733,-71.14534
Asclepias syriaca,45.49912,-76.07583
Asclepias syriaca,39.01395,-76.39814
Asclepias syriaca,38.8982,-76.35923
Asclepias syriaca,36.19363,-86.65631
Asclepias syriaca,36.16793,-86.72179
Asclepias syriaca,35.81168,-78.71393
Asclepias syriaca,44.13172,-74.91915
Asclepias syriaca,42.40746,-71.32613
Asclepias syriaca,41.15061,-73.96942
Asclepias syriaca,39.00318,-76.88644
Asclepias syriaca,39.00147,-76.87842
Asclepias syriaca,39.00456,-76.8849
Asclepias syriaca,38.93399,-94.68392
Asclepias syriaca,39.25632,-75.11313
Asclepias syriaca,39.71368,-82.59933
Asclepias syriaca,38.8994,-77.0575
Asclepias syriaca,38.8664,-77.7064
Asclepias syriaca,38.895,-77.0367
Asclepias syriaca,39.2672,-76.7986
Asclepias syriaca,38.94,-77.0514
Asclepias syriaca,39.1367,-77.715
Asclepias syriaca,38.8242,-77.7111
Asclepias syriaca,38.8822,-77.0575
Asclepias syriaca,38.8664,-77.7064
Asclepias syriaca,38.8461,-77.3067
Asclepias syriaca,38.8664,-77.7064
Asclepias syriaca,38.94,-77.0514
Asclepias syriaca,38.8242,-77.7111
Asclepias syriaca,38.9037,-76.9444
Asclepias syriaca,39.644,-77.3991
Asclepias syriaca,38.8119,-77.6367
Asclepias syriaca,38.9436,-77.1261
Asclepias syriaca,38.895,-77.0367
Asclepias syriaca,38.95889,-76.57219
Asclepias syriaca,38.8242,-77.7111
Asclepias syriaca,38.8664,-77.7064
Asclepias syriaca,38.8664,-77.7064
Asclepias syriaca,38.8653,-76.9867
Asclepias syriaca,39.1688,-76.7327
Asclepias syriaca,38.8242,-77.7111
Asclepias syriaca,41.01068,-81.9703
Asclepias syriaca,44.27074,-96.78
Asclepias syriaca,41.33448,-80.23895
Asclepias syriaca,41.33448,-80.23901
Asclepias syriaca,41.33451,-80.23886
Asclepias syriaca,41.3345,-80.23898
Asclepias syriaca,41.33448,-80.23892
Asclepias syriaca,41.33454,-80.23887
Asclepias syriaca,45.44638,-75.65222
